date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:20	173421/173421	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:16%20GMT	https://easebuzz.in/teller/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/teller/index.html	(from https://easebuzz.in/)
14:42:20	2932/2932	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226447d067-b74%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/vendor_payout_icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/vendor_payout_icon.svg	(from https://easebuzz.in/)
14:42:20	3337/3337	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226447d067-d09%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/smartx_icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/smartx_icon.svg	(from https://easebuzz.in/)
14:42:21	2091/2091	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226447d067-82b%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/Tax_payment_icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/Tax_payment_icon.svg	(from https://easebuzz.in/)
14:42:21	3329/3329	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226447d067-d01%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/digital_lending_icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/digital_lending_icon.svg	(from https://easebuzz.in/)
14:42:21	146895/146895	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:17%20GMT	https://easebuzz.in/epos/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/epos/index.html	(from https://easebuzz.in/)
14:42:21	135390/135390	---M--	200	added ('OK')	image/png	etag:%226447d067-210de%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/payment_plus2.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/payment_plus2.png	(from https://easebuzz.in/)
14:42:21	9420/9420	---M--	200	added ('OK')	image/png	etag:%226447d067-24cc%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/neo_logo.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/neo_logo.png	(from https://easebuzz.in/)
14:42:21	361/361	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226447d067-169%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/bullet_point_icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/bullet_point_icon.svg	(from https://easebuzz.in/)
14:42:22	160759/160759	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:18%20GMT	https://easebuzz.in/recurri/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/recurri/index.html	(from https://easebuzz.in/)
